Date Time,Water Level,Sigma,O,F,R,L,Quality
4/22/16 12:48,0.7,3.00E-03,0,0,0,0,v
4/22/16 12:54,0.72,3.00E-03,0,0,0,0,v
4/22/16 13:00,0.75,3.00E-03,0,0,0,0,v
4/22/16 13:06,0.77,4.00E-03,0,0,0,0,v
4/22/16 13:12,0.8,5.00E-03,0,0,0,0,v
4/22/16 13:18,0.82,3.00E-03,0,0,0,0,v
4/22/16 13:24,0.84,3.00E-03,0,0,0,0,v
4/22/16 13:30,0.86,3.00E-03,0,0,0,0,v
4/22/16 13:36,0.87,2.00E-03,0,0,0,0,v
4/22/16 13:42,0.89,1.00E-03,0,0,0,0,v
4/22/16 13:48,0.89,1.00E-03,0,0,0,0,v
4/22/16 13:54,0.89,2.00E-03,0,0,0,0,v
4/22/16 14:00,0.89,3.00E-03,0,0,0,0,v
4/22/16 14:06,0.89,2.00E-03,0,0,0,0,v
4/22/16 14:12,0.87,2.00E-03,0,0,0,0,v
4/22/16 14:18,0.86,4.00E-03,0,0,0,0,v
4/22/16 14:24,0.84,2.00E-03,0,0,0,0,v
4/22/16 14:30,0.82,4.00E-03,0,0,0,0,v
4/22/16 14:36,0.8,4.00E-03,0,0,0,0,v
4/22/16 14:42,0.77,4.00E-03,0,0,0,0,v
4/22/16 14:48,0.74,4.00E-03,0,0,0,0,v
4/22/16 14:54,0.7,4.00E-03,0,0,0,0,v
4/22/16 15:00,0.67,5.00E-03,0,0,0,0,v
4/22/16 15:06,0.63,5.00E-03,0,0,0,0,v
4/22/16 15:12,0.6,5.00E-03,0,0,0,0,v
4/22/16 15:18,0.56,5.00E-03,0,0,0,0,v
4/22/16 15:24,0.53,6.00E-03,0,0,0,0,v
4/22/16 15:30,0.49,5.00E-03,0,0,0,0,v
4/22/16 15:36,0.46,4.00E-03,0,0,0,0,v
4/22/16 15:42,0.42,5.00E-03,0,0,0,0,v
4/22/16 15:48,0.39,4.00E-03,0,0,0,0,v
4/22/16 15:54,0.36,5.00E-03,0,0,0,0,v
4/22/16 16:00,0.33,5.00E-03,0,0,0,0,v
4/22/16 16:06,0.29,4.00E-03,0,0,0,0,v
4/22/16 16:12,0.26,4.00E-03,0,0,0,0,v
4/22/16 16:18,0.23,5.00E-03,0,0,0,0,v
4/22/16 16:24,0.2,3.00E-03,0,0,0,0,v
4/22/16 16:30,0.17,4.00E-03,0,0,0,0,v
4/22/16 16:36,0.14,6.00E-03,0,0,0,0,v
4/22/16 16:42,0.1,7.00E-03,0,0,0,0,v
4/22/16 16:48,0.07,4.00E-03,0,0,0,0,v
4/22/16 16:54,0.04,4.00E-03,0,0,0,0,v
4/22/16 17:00,0.01,4.00E-03,0,0,0,0,v
4/22/16 17:06,-0.01,4.00E-03,0,0,0,0,v
4/22/16 17:12,-0.04,5.00E-03,0,0,0,0,v
4/22/16 17:18,-0.08,4.00E-03,0,0,0,0,v
4/22/16 17:24,-0.11,4.00E-03,0,0,0,0,v
4/22/16 17:30,-0.14,4.00E-03,0,0,0,0,v
4/22/16 17:36,-0.17,4.00E-03,0,0,0,0,v
4/22/16 17:42,-0.2,4.00E-03,0,0,0,0,v
4/22/16 17:48,-0.23,4.00E-03,0,0,0,0,v
4/22/16 17:54,-0.26,4.00E-03,0,0,0,0,v
4/22/16 18:00,-0.29,4.00E-03,0,0,0,0,v
4/22/16 18:06,-0.32,4.00E-03,0,0,0,0,v
4/22/16 18:12,-0.35,4.00E-03,0,0,0,0,v
4/22/16 18:18,-0.38,4.00E-03,0,0,0,0,v
4/22/16 18:24,-0.42,4.00E-03,0,0,0,0,v
4/22/16 18:30,-0.45,4.00E-03,0,0,0,0,v
4/22/16 18:36,-0.48,4.00E-03,0,0,0,0,v
4/22/16 18:42,-0.52,4.00E-03,0,0,0,0,v
4/22/16 18:48,-0.55,3.00E-03,0,0,0,0,v
4/22/16 18:54,-0.57,3.00E-03,0,0,0,0,v
4/22/16 19:00,-0.61,6.00E-03,0,0,0,0,v
4/22/16 19:06,-0.64,5.00E-03,0,0,0,0,v
4/22/16 19:12,-0.67,5.00E-03,0,0,0,0,v
4/22/16 19:18,-0.69,4.00E-03,0,0,0,0,v
4/22/16 19:24,-0.73,3.00E-03,0,0,0,0,v
4/22/16 19:30,-0.75,4.00E-03,0,0,0,0,v
4/22/16 19:36,-0.78,2.00E-03,0,0,0,0,v
4/22/16 19:42,-0.81,4.00E-03,0,0,0,0,v
4/22/16 19:48,-0.84,3.00E-03,0,0,0,0,v
4/22/16 19:54,-0.86,4.00E-03,0,0,0,0,v
4/22/16 20:00,-0.88,3.00E-03,0,0,0,0,v
4/22/16 20:06,-0.91,3.00E-03,0,0,0,0,v
4/22/16 20:12,-0.93,3.00E-03,0,0,0,0,v
4/22/16 20:18,-0.95,3.00E-03,0,0,0,0,v
4/22/16 20:24,-0.97,2.00E-03,0,0,0,0,v
4/22/16 20:30,-0.98,1.00E-03,0,0,0,0,v
4/22/16 20:36,-0.99,1.00E-03,0,0,0,0,v
4/22/16 20:42,-0.99,0,0,0,0,0,v
4/22/16 20:48,-0.98,1.00E-03,0,0,0,0,v
4/22/16 20:54,-0.96,4.00E-03,0,0,0,0,v
4/22/16 21:00,-0.92,6.00E-03,0,0,0,0,v
4/22/16 21:06,-0.87,7.00E-03,0,0,0,0,v
4/22/16 21:12,-0.8,9.00E-03,0,0,0,0,v
4/22/16 21:18,-0.73,9.00E-03,0,0,0,0,v
4/22/16 21:24,-0.66,9.00E-03,0,0,0,0,v
4/22/16 21:30,-0.59,9.00E-03,0,0,0,0,v
4/22/16 21:36,-0.52,8.00E-03,0,0,0,0,v
